order_id,order_date,customer_name,state,city,sales
B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore,589
B-25652,08-05-2018,Tushina,Goa,Goa,937
B-25653,08-05-2018,Farah,Nagaland,Kohima,769
B-25654,10-05-2018,Sabah,Maharashtra,Mumbai,888
B-25655,11-05-2018,Nida,Madhya Pradesh,Indore,179
B-25656,11-05-2018,Priyanka,Maharashtra,Pune,928
B-25657,13-05-2018,Tulika,Madhya Pradesh,Bhopal,966
B-25658,14-05-2018,Shefali,Rajasthan,Jaipur,239
B-25659,15-05-2018,Sanskriti,West Bengal,Kolkata,481
B-25660,16-05-2018,Shruti,Karnataka,Bangalore,426
B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir,329
B-25662,17-05-2018,Sweta,Maharashtra,Mumbai,938
B-25663,19-05-2018,Pournamasi,Madhya Pradesh,Indore,766
B-25664,20-05-2018,Pratyusmita,Bihar,Patna,389
B-25665,21-05-2018,Chayanika,Kerala ,Thiruvananthapuram,286
B-25666,22-05-2018,Tanvi,Punjab,Chandigarh,788
B-25667,23-05-2018,Anjali,Haryana,Chandigarh,359
B-25668,24-05-2018,Rhea,Himachal Pradesh,Simla,912
B-25669,25-05-2018,Piyali,Sikkim,Gangtok,647
B-25670,25-05-2018,Charika,Goa,Goa,148
B-25671,27-05-2018,Mitali,Nagaland,Kohima,829
B-25672,28-05-2018,Akanksha,Andhra Pradesh,Hyderabad,488
B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad,825
B-25674,28-05-2018,Mahima,Maharashtra,Pune,190
B-25675,31-05-2018,Shreya,Madhya Pradesh,Bhopal,574
B-25676,01-06-2018,Chandni,Rajasthan,Jaipur,759
B-25677,02-06-2018,Ekta,West Bengal,Kolkata,281
B-25678,03-06-2018,Bathina,Karnataka,Bangalore,109
B-25679,04-06-2018,Avni,Maharashtra,Mumbai,809
B-25680,04-06-2018,Aayushi,Madhya Pradesh,Indore,436
B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore,149
B-25682,07-06-2018,Krutika,Bihar,Patna,413
B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram,438
B-25684,09-06-2018,Samiksha,Maharashtra,Mumbai,142
B-25685,10-06-2018,Sheetal,Madhya Pradesh,Indore,358
B-25686,11-06-2018,Pooja,Himachal Pradesh,Simla,850
B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai,658
B-25688,11-06-2018,Swetha,Madhya Pradesh,Indore,248
B-25689,14-06-2018,Bhaggyasree,Maharashtra,Mumbai,816
B-25690,15-06-2018,Gunjan,Madhya Pradesh,Indore,905
B-25691,16-06-2018,Akancha,Maharashtra,Mumbai,709
B-25692,17-06-2018,Rashmi,Madhya Pradesh,Indore,325
B-25693,18-06-2018,Parna,Madhya Pradesh,Bhopal,230
B-25694,18-06-2018,Subhasmita,Rajasthan,Jaipur,132
B-25695,18-06-2018,Suhani,West Bengal,Kolkata,751
B-25696,21-06-2018,Noopur,Karnataka,Bangalore,505
B-25697,22-06-2018,Vijay,Jammu and Kashmir,Kashmir,389
B-25698,23-06-2018,Amisha,Tamil Nadu,Chennai,915
B-25699,24-06-2018,Kritika,Uttar Pradesh,Lucknow,739
B-25700,25-06-2018,Shubhi,Maharashtra,Mumbai,542
B-25701,26-06-2018,Maithilee,Madhya Pradesh,Indore,677
B-25702,27-06-2018,Shaily,Maharashtra,Mumbai,697
B-25703,28-06-2018,Ekta,Madhya Pradesh,Indore,117
B-25704,29-06-2018,Riya,Maharashtra,Mumbai,537
B-25705,30-06-2018,Shweta,Madhya Pradesh,Indore,450
B-25706,01-07-2018,Swetlana,Goa,Goa,262
B-25707,01-07-2018,Shivani,Maharashtra,Mumbai,923
B-25708,01-07-2018,Kishwar,Madhya Pradesh,Indore,911
B-25709,01-07-2018,Aakanksha,Madhya Pradesh,Indore,804
B-25710,05-07-2018,Megha,Maharashtra,Pune,564
B-25711,06-07-2018,Sakshi,Madhya Pradesh,Bhopal,927
B-25712,07-07-2018,Adhvaita,Rajasthan,Jaipur,124
B-25713,08-07-2018,Raksha,West Bengal,Kolkata,153
B-25714,09-07-2018,Stuti,Karnataka,Bangalore,702
B-25715,10-07-2018,Srishti,Jammu and Kashmir,Kashmir,455
B-25716,11-07-2018,Surabhi,Tamil Nadu,Chennai,457
B-25717,12-07-2018,Manshul,Uttar Pradesh,Lucknow,701
B-25718,12-07-2018,Anjali,Maharashtra,Mumbai,709
B-25719,12-07-2018,Rashmi,Madhya Pradesh,Indore,996
B-25720,15-07-2018,Namrata,Punjab,Chandigarh,631
B-25721,16-07-2018,Anchal,Haryana,Chandigarh,322
B-25722,17-07-2018,Inderpreet,Himachal Pradesh,Simla,323
B-25723,18-07-2018,Wale,Maharashtra,Mumbai,685
B-25724,19-07-2018,Sheetal,Madhya Pradesh,Indore,480
B-25725,20-07-2018,Anisha,Nagaland,Kohima,449
B-25726,21-07-2018,Kiran,Maharashtra,Mumbai,771
B-25727,22-07-2018,Turumella,Madhya Pradesh,Indore,619
B-25728,22-07-2018,Ameesha,Maharashtra,Pune,672
B-25729,22-07-2018,Madhulika,Madhya Pradesh,Bhopal,524
B-25730,22-07-2018,Rishabh,Rajasthan,Jaipur,347
B-25731,26-07-2018,Akash,West Bengal,Kolkata,980
B-25732,27-07-2018,Anubhaw,Karnataka,Bangalore,643
B-25733,28-07-2018,Dhirajendu,Maharashtra,Mumbai,563
B-25734,29-07-2018,Pranav,Madhya Pradesh,Indore,526
B-25735,30-07-2018,Arindam,Uttar Pradesh,Lucknow,582
B-25736,31-07-2018,Akshat,Maharashtra,Mumbai,377
B-25737,01-08-2018,Shubham,Madhya Pradesh,Indore,954
B-25738,02-08-2018,Ayush,Punjab,Chandigarh,869
B-25739,03-08-2018,Daksh,Haryana,Chandigarh,109
B-25740,03-08-2018,Rane,Maharashtra,Mumbai,362
B-25741,03-08-2018,Navdeep,Madhya Pradesh,Indore,415
B-25742,03-08-2018,Ashwin,Goa,Goa,125
B-25743,07-08-2018,Aman,Nagaland,Kohima,381
B-25744,08-08-2018,Devendra,Andhra Pradesh,Hyderabad,197
B-25745,09-08-2018,Kartik,Gujarat,Ahmedabad,506
B-25746,10-08-2018,Shivam,Maharashtra,Pune,534
B-25747,11-08-2018,Harsh,Madhya Pradesh,Bhopal,224
B-25748,12-08-2018,Nitant,Rajasthan,Jaipur,149
B-25749,13-08-2018,Ayush,Maharashtra,Mumbai,411
B-25750,14-08-2018,Priyanshu,Madhya Pradesh,Indore,878
B-25751,14-08-2018,Nishant,Maharashtra,Mumbai,887
B-25752,14-08-2018,Vaibhav,Madhya Pradesh,Indore,228
B-25753,17-08-2018,Shivam,Uttar Pradesh,Lucknow,392
B-25754,18-08-2018,Akshay,Bihar,Patna,943
B-25755,19-08-2018,Shourya,Kerala ,Thiruvananthapuram,720
B-25756,20-08-2018,Mohan,Maharashtra,Mumbai,693
B-25757,21-08-2018,Mohit,Madhya Pradesh,Indore,351
B-25758,22-08-2018,Shubham,Himachal Pradesh,Simla,854
B-25759,23-08-2018,Soumya,Sikkim,Gangtok,164
B-25760,24-08-2018,Pooja,Goa,Goa,350
B-25761,25-08-2018,Surabhi,Maharashtra,Mumbai,551
B-25762,26-08-2018,Anudeep,Madhya Pradesh,Indore,633
B-25763,27-08-2018,Noshiba,Gujarat,Ahmedabad,434
B-25764,28-08-2018,Sanjova,Maharashtra,Pune,959
B-25765,29-08-2018,Meghana,Madhya Pradesh,Bhopal,753
B-25766,30-08-2018,Surabhi,Rajasthan,Jaipur,806
B-25767,31-08-2018,Ashmeet,West Bengal,Kolkata,716
B-25768,01-09-2018,Shreyoshe,Karnataka,Bangalore,905
B-25769,02-09-2018,Surbhi,Maharashtra,Mumbai,990
B-25770,02-09-2018,Sakshi,Madhya Pradesh,Indore,278
B-25771,02-09-2018,Vaibhavi,Uttar Pradesh,Lucknow,986
B-25772,02-09-2018,Sanjana,Bihar,Patna,605
B-25773,06-09-2018,Shreya,Kerala ,Thiruvananthapuram,553
B-25774,07-09-2018,Snehal,Punjab,Chandigarh,870
B-25775,08-09-2018,Duhita,Haryana,Chandigarh,187
B-25776,09-09-2018,Mousam,Maharashtra,Mumbai,996
B-25777,10-09-2018,Aditi,Madhya Pradesh,Indore,272
B-25778,11-09-2018,Surabhi,Maharashtra,Mumbai,143
B-25779,12-09-2018,Savi,Madhya Pradesh,Indore,332
B-25780,13-09-2018,Teena,Andhra Pradesh,Hyderabad,803
B-25781,14-09-2018,Rutuja,Gujarat,Ahmedabad,406
B-25782,15-09-2018,Aayushi,Maharashtra,Mumbai,277
B-25783,15-09-2018,Shivangi,Madhya Pradesh,Indore,175
B-25784,15-09-2018,Rohit,Rajasthan,Jaipur,309
B-25785,15-09-2018,Ayush,West Bengal,Kolkata,584
B-25786,19-09-2018,Abhishek,Karnataka,Bangalore,845
B-25787,20-09-2018,Asish,Jammu and Kashmir,Kashmir,283
B-25788,21-09-2018,Dinesh,Tamil Nadu,Chennai,966
B-25789,22-09-2018,Akshay,Uttar Pradesh,Lucknow,299
B-25790,23-09-2018,Sajal,Bihar,Patna,706
B-25791,24-09-2018,Avish,Kerala ,Thiruvananthapuram,653
B-25792,24-09-2018,Abhishek,Maharashtra,Mumbai,255
B-25793,24-09-2018,Siddharth,Madhya Pradesh,Indore,303
B-25794,24-09-2018,Aditya,Himachal Pradesh,Simla,568
B-25795,24-09-2018,Sukant,Sikkim,Gangtok,245
B-25796,24-09-2018,Sukrith,Maharashtra,Mumbai,444
B-25797,30-09-2018,Sauptik,Madhya Pradesh,Indore,690
B-25798,01-10-2018,Shishu,Andhra Pradesh,Hyderabad,235
B-25799,01-10-2018,Divyansh,Gujarat,Ahmedabad,372
B-25800,01-10-2018,Ishit,Maharashtra,Pune,615
B-25801,01-10-2018,Aryan,Madhya Pradesh,Bhopal,977
B-25802,05-10-2018,Yash,Maharashtra,Mumbai,246
B-25803,05-10-2018,Shivanshu,Madhya Pradesh,Indore,664
B-25804,05-10-2018,Sudheer,Karnataka,Bangalore,593
B-25805,05-10-2018,Ankit,Maharashtra,Mumbai,711
B-25806,06-10-2018,Dhanraj,Madhya Pradesh,Indore,911
B-25807,07-10-2018,Vipul,Uttar Pradesh,Lucknow,170
B-25808,08-10-2018,Apsingekar,Bihar,Patna,582
B-25809,09-10-2018,Suman,Kerala ,Thiruvananthapuram,403
B-25810,10-10-2018,Nripraj,Punjab,Chandigarh,445
B-25811,10-10-2018,Utsav,Maharashtra,Mumbai,672
B-25812,10-10-2018,Kshitij,Madhya Pradesh,Indore,807
B-25813,10-10-2018,Hrisheekesh,Maharashtra,Mumbai,713
B-25814,10-10-2018,Swapnil,Madhya Pradesh,Indore,557
B-25815,10-10-2018,Harsh,Nagaland,Kohima,827
B-25816,12-10-2018,Mane,Andhra Pradesh,Hyderabad,838
B-25817,13-10-2018,Praneet,Maharashtra,Mumbai,542
B-25818,14-10-2018,Sandeep,Madhya Pradesh,Indore,722
B-25819,15-10-2018,Ankur,Madhya Pradesh,Bhopal,460
B-25820,16-10-2018,Dheeraj,Rajasthan,Jaipur,619
B-25821,16-10-2018,Ajay,West Bengal,Kolkata,224
B-25822,18-10-2018,Tejas,Karnataka,Bangalore,109
B-25823,18-10-2018,Rohan,Maharashtra,Mumbai,612
B-25824,20-10-2018,Shyam,Madhya Pradesh,Indore,529
B-25825,21-10-2018,Kartik,Madhya Pradesh,Indore,163
B-25826,22-10-2018,Tanushree,Maharashtra,Mumbai,735
B-25827,23-10-2018,Sheetal,Madhya Pradesh,Indore,375
B-25828,24-10-2018,Nikita,Punjab,Chandigarh,989
B-25829,25-10-2018,Apoorva,Haryana,Chandigarh,715
B-25830,26-10-2018,Aastha,Himachal Pradesh,Simla,980
B-25831,27-10-2018,Mahima,Sikkim,Gangtok,325
B-25832,28-10-2018,Harshita,Maharashtra,Mumbai,168
B-25833,29-10-2018,Krishna,Madhya Pradesh,Indore,325
B-25834,29-10-2018,Ananya,Andhra Pradesh,Hyderabad,747
B-25835,29-10-2018,Moumita,Gujarat,Ahmedabad,1000
B-25836,29-10-2018,Arti,Maharashtra,Pune,280
B-25837,29-10-2018,Palak,Maharashtra,Mumbai,752
B-25838,29-10-2018,Sanjana,Madhya Pradesh,Indore,207
B-25839,30-10-2018,Pranjali,West Bengal,Kolkata,661
B-25840,31-10-2018,Sneha,Karnataka,Bangalore,134
B-25841,01-11-2018,Ashvini,Maharashtra,Mumbai,375
B-25842,02-11-2018,Sheetal,Madhya Pradesh,Indore,889
B-25843,03-11-2018,Mrunal,Maharashtra,Mumbai,453
B-25844,03-11-2018,Swati,Madhya Pradesh,Indore,204
B-25845,03-11-2018,Snel,Kerala ,Thiruvananthapuram,292
B-25846,03-11-2018,Soodesh,Punjab,Chandigarh,713
B-25847,03-11-2018,Aniket,Haryana,Chandigarh,706
B-25848,03-11-2018,Rohan,Himachal Pradesh,Simla,397
B-25849,04-11-2018,K,Sikkim,Gangtok,819
B-25850,05-11-2018,Abhishek,Goa,Goa,314
B-25851,06-11-2018,Kushal,Nagaland,Kohima,174
B-25852,07-11-2018,Soumyabrata,Andhra Pradesh,Hyderabad,633
B-25853,08-11-2018,Gaurav,Gujarat,Ahmedabad,375
B-25854,08-11-2018,Shubham,Maharashtra,Pune,138
B-25855,08-11-2018,Abhijeet,Madhya Pradesh,Bhopal,416
B-25856,10-11-2018,Abhijeet,Maharashtra,Mumbai,211
B-25857,10-11-2018,Anand,Madhya Pradesh,Indore,158
B-25858,13-11-2018,Swapnil,Maharashtra,Mumbai,721
B-25859,14-11-2018,Chikku,Madhya Pradesh,Indore,743
B-25860,15-11-2018,Akshay,Tamil Nadu,Chennai,292
B-25861,15-11-2018,Aayush,Uttar Pradesh,Lucknow,542
B-25862,15-11-2018,Amol,Bihar,Patna,520
B-25863,15-11-2018,Manibalan,Kerala ,Thiruvananthapuram,525
B-25864,15-11-2018,Aromal,Maharashtra,Mumbai,591
B-25865,15-11-2018,Arun,Madhya Pradesh,Indore,477
B-25866,16-11-2018,Komal,Himachal Pradesh,Simla,613
B-25867,17-11-2018,Ankit,Sikkim,Gangtok,136
B-25868,18-11-2018,Vikash,Goa,Goa,934
B-25869,19-11-2018,Parakh,Nagaland,Kohima,751
B-25870,20-11-2018,Pranav,Andhra Pradesh,Hyderabad,935
B-25871,21-11-2018,Gunjal,Gujarat,Surat,400
B-25872,22-11-2018,Saurabh,Maharashtra,Mumbai,343
B-25873,23-11-2018,Divyeta,Madhya Pradesh,Indore,534
B-25874,24-11-2018,Megha,Rajasthan,Udaipur,177
B-25875,24-11-2018,Divyeshkumar,Uttar Pradesh,Allahabad,581
B-25876,24-11-2018,Bhosale,Punjab,Amritsar,228
B-25877,24-11-2018,Dashyam,Gujarat,Surat,802
B-25878,24-11-2018,Mrinal,Maharashtra,Mumbai,593
B-25879,24-11-2018,Siddharth,Madhya Pradesh,Indore,127
B-25880,24-11-2018,Apoorv,Rajasthan,Udaipur,502
B-25881,25-11-2018,Pooja,Uttar Pradesh,Allahabad,605
B-25882,26-11-2018,Masurkar,Punjab,Amritsar,924
B-25883,27-11-2018,Saptadeep,Gujarat,Surat,370
B-25884,28-11-2018,Sumeet,Maharashtra,Mumbai,238
B-25885,28-11-2018,Shatayu,Madhya Pradesh,Indore,559
B-25886,28-11-2018,Brijesh,Rajasthan,Udaipur,467
B-25887,01-12-2018,Vedant,Uttar Pradesh,Allahabad,359
B-25888,02-12-2018,Rohan,Punjab,Amritsar,596
B-25889,03-12-2018,Abhishek,Gujarat,Surat,582
B-25890,04-12-2018,Divyansha,Maharashtra,Mumbai,307
B-25891,04-12-2018,Shivani,Madhya Pradesh,Indore,570
B-25892,04-12-2018,Aditi,Rajasthan,Udaipur,725
B-25893,04-12-2018,Aashna,Uttar Pradesh,Allahabad,245
B-25894,04-12-2018,Monu,Punjab,Amritsar,523
B-25895,04-12-2018,Sathya,Gujarat,Surat,872
B-25896,05-12-2018,Aman,Maharashtra,Mumbai,198
B-25897,06-12-2018,Rohan,Madhya Pradesh,Indore,665
B-25898,07-12-2018,Abhishek,Rajasthan,Udaipur,897
B-25899,08-12-2018,Aishwarya,Uttar Pradesh,Allahabad,727
B-25900,09-12-2018,Anand,Punjab,Amritsar,716
B-25901,10-12-2018,Suraj,Gujarat,Surat,846
B-25902,10-12-2018,Ishpreet,Maharashtra,Mumbai,363
B-25903,10-12-2018,Amlan,Madhya Pradesh,Indore,655
B-25904,10-12-2018,Swapnil,Delhi,Delhi,186
B-25905,11-12-2018,Bhargav,Madhya Pradesh,Delhi,251
B-25906,11-12-2018,Abhijit,Delhi,Delhi,492
B-25907,11-12-2018,Jaydeep,Madhya Pradesh,Bhopal,451
B-25908,12-12-2018,Pradeep,Delhi,Delhi,583
B-25909,13-12-2018,Sujay,Madhya Pradesh,Delhi,949
B-25910,14-12-2018,Jay,Delhi,Delhi,399
B-25911,15-12-2018,Phalguni,Madhya Pradesh,Bhopal,749
B-25912,16-12-2018,Preksha,Delhi,Delhi,559
B-25913,17-12-2018,Geetanjali,Madhya Pradesh,Delhi,250
B-25914,18-12-2018,Kajal,Delhi,Delhi,194
B-25915,19-12-2018,Sukruta,Punjab,Amritsar,263
B-25916,20-12-2018,Utkarsh,Gujarat,Surat,322
B-25917,21-12-2018,Sanjay,Maharashtra,Mumbai,297
B-25918,22-12-2018,Karandeep,Madhya Pradesh,Indore,411
B-25919,23-12-2018,Neha,Rajasthan,Udaipur,636
B-25920,24-12-2018,Jayanti,Uttar Pradesh,Allahabad,576
B-25921,25-12-2018,Sandra,Punjab,Amritsar,584
B-25922,26-12-2018,Akshata,Gujarat,Surat,180
B-25923,27-12-2018,Vishakha,Maharashtra,Mumbai,589
B-25924,28-12-2018,Prajakta,Karnataka,Bangalore,377
B-25925,29-12-2018,Shruti,Maharashtra,Mumbai,735
B-25926,30-12-2018,Dipali,Madhya Pradesh,Indore,888
B-25927,31-12-2018,Shreya,Uttar Pradesh,Lucknow,771
B-25928,01-01-2019,Smriti,Bihar,Patna,919
B-25929,02-01-2019,Girase,Kerala ,Thiruvananthapuram,333
B-25930,03-01-2019,Monica,Punjab,Chandigarh,610
B-25931,04-01-2019,Sidharth,Maharashtra,Mumbai,309
B-25932,04-01-2019,Bhutekar,Madhya Pradesh,Indore,482
B-25933,04-01-2019,Shikhar,Maharashtra,Mumbai,232
B-25934,04-01-2019,Rahul,Madhya Pradesh,Indore,672
B-25935,04-01-2019,Sudhir,Nagaland,Kohima,272
B-25936,05-01-2019,Nikhil,Punjab,Chandigarh,785
B-25937,05-01-2019,Ankit,Haryana,Chandigarh,796
B-25938,05-01-2019,Shikhar,Himachal Pradesh,Simla,513
B-25939,05-01-2019,Vineet,Sikkim,Gangtok,356
B-25940,06-01-2019,Vivek,Goa,Goa,650
B-25941,07-01-2019,Jaideep,Nagaland,Kohima,403
B-25942,08-01-2019,Ankur,Andhra Pradesh,Hyderabad,236
B-25943,09-01-2019,Shardul,Gujarat,Ahmedabad,706
B-25944,10-01-2019,Syed,Maharashtra,Pune,931
B-25945,11-01-2019,Mhatre,Madhya Pradesh,Indore,810
B-25946,12-01-2019,Saurabh,Andhra Pradesh,Hyderabad,568
B-25947,13-01-2019,Chetan,Gujarat,Ahmedabad,788
B-25948,13-01-2019,Mukund,Maharashtra,Pune,899
B-25949,13-01-2019,Shantanu,Maharashtra,Mumbai,365
B-25950,13-01-2019,Shruti,Madhya Pradesh,Indore,537
B-25951,13-01-2019,Jesal,West Bengal,Kolkata,152
B-25952,13-01-2019,Priyanka,Madhya Pradesh,Indore,975
B-25953,14-01-2019,Krutika,Andhra Pradesh,Hyderabad,509
B-25954,14-01-2019,Trupti,Gujarat,Ahmedabad,216
B-25955,16-01-2019,Soumya,Maharashtra,Pune,254
B-25956,17-01-2019,Shreya,Maharashtra,Mumbai,948
B-25957,18-01-2019,Mahima,Madhya Pradesh,Indore,732
B-25958,18-01-2019,Aparajita,West Bengal,Kolkata,684
B-25959,18-01-2019,Muskan,Madhya Pradesh,Indore,980
B-25960,18-01-2019,Shreya,Andhra Pradesh,Hyderabad,985
B-25961,18-01-2019,Surbhi,Gujarat,Ahmedabad,247
B-25962,19-01-2019,Tejeswini,Maharashtra,Pune,394
B-25963,19-01-2019,Pratiksha,Maharashtra,Mumbai,539
B-25964,20-01-2019,Oshin,Madhya Pradesh,Indore,644
B-25965,21-01-2019,Saloni,West Bengal,Kolkata,337
B-25966,21-01-2019,Soumya,Rajasthan,Udaipur,576
B-25967,21-01-2019,Komal,Uttar Pradesh,Allahabad,364
B-25968,21-01-2019,Paromita,Punjab,Amritsar,557
B-25969,21-01-2019,Shreyshi,Gujarat,Surat,629
B-25970,22-01-2019,Rhea,Maharashtra,Mumbai,447
B-25971,22-01-2019,Mitali,Madhya Pradesh,Indore,930
B-25972,23-01-2019,Jesslyn,Rajasthan,Udaipur,646
B-25973,24-01-2019,Seema,Uttar Pradesh,Allahabad,210
B-25974,25-01-2019,Manisha,Rajasthan,Udaipur,129
B-25975,25-01-2019,Priyanka,Uttar Pradesh,Allahabad,932
B-25976,25-01-2019,Piyam,Punjab,Amritsar,597
B-25977,27-01-2019,Aayushi,Gujarat,Surat,653
B-25978,27-01-2019,Parin,Maharashtra,Mumbai,884
B-25979,27-01-2019,Shivangi,Madhya Pradesh,Indore,776
B-25980,27-01-2019,Shweta,Rajasthan,Udaipur,149
B-25981,28-01-2019,Amruta,Delhi,Delhi,120
B-25982,29-01-2019,Hemangi,Delhi,Delhi,893
B-25983,30-01-2019,Atul,Delhi,Delhi,712
B-25984,30-01-2019,Kajal,Delhi,Delhi,971
B-25985,31-01-2019,Ginny,Madhya Pradesh,Indore,905
B-25986,31-01-2019,Shweta,Rajasthan,Udaipur,595
B-25987,31-01-2019,Manjiri,Delhi,Delhi,376
B-25988,31-01-2019,Nirja,Delhi,Delhi,670
B-25989,01-02-2019,Anjali,Delhi,Delhi,998
B-25990,02-02-2019,Mugdha,Delhi,Delhi,783
B-25991,03-02-2019,Mansi,Madhya Pradesh,Indore,705
B-25992,03-02-2019,Gaurav,Rajasthan,Udaipur,254
B-25993,03-02-2019,Harshal,Delhi,Delhi,682
B-25994,03-02-2019,Omkar,Delhi,Delhi,163
B-25995,04-02-2019,Yohann,Delhi,Delhi,677
B-25996,04-02-2019,Prashant,Delhi,Delhi,369
B-25997,04-02-2019,Yogesh,Madhya Pradesh,Indore,176
B-25998,04-02-2019,Anmol,Rajasthan,Udaipur,351
B-25999,05-02-2019,Diwakar,Delhi,Delhi,963
B-26000,06-02-2019,Shubham,Delhi,Delhi,940
B-26001,07-02-2019,Patil,Delhi,Delhi,936
B-26002,08-02-2019,Harsh,Delhi,Delhi,682
B-26003,08-02-2019,Hitesh,Madhya Pradesh,Bhopal,786
B-26004,08-02-2019,Nandita,Rajasthan,Jaipur,504
B-26005,08-02-2019,Parnavi,West Bengal,Kolkata,151
B-26006,09-02-2019,Arpita,Karnataka,Bangalore,957
B-26007,09-02-2019,Shubham,Jammu and Kashmir,Kashmir,718
B-26008,09-02-2019,Kalyani,Tamil Nadu,Chennai,787
B-26009,10-02-2019,Komal,Uttar Pradesh,Lucknow,413
B-26010,11-02-2019,Kartikay,Bihar,Patna,472
B-26011,12-02-2019,Bharat,Gujarat,Ahmedabad,823
B-26012,13-02-2019,Pearl,Maharashtra,Pune,609
B-26013,13-02-2019,Jahan,Madhya Pradesh,Bhopal,417
B-26014,13-02-2019,Divsha,Rajasthan,Jaipur,614
B-26015,14-02-2019,Kasheen,West Bengal,Kolkata,853
B-26016,14-02-2019,Hazel,Karnataka,Bangalore,391
B-26017,14-02-2019,Sonakshi,Jammu and Kashmir,Kashmir,380
B-26018,14-02-2019,Aarushi,Tamil Nadu,Chennai,423
B-26019,15-02-2019,Jitesh,Uttar Pradesh,Lucknow,806
B-26020,16-02-2019,Yogesh,Bihar,Patna,567
B-26021,17-02-2019,Anita,Kerala ,Thiruvananthapuram,826
B-26022,18-02-2019,Shrichand,Punjab,Chandigarh,658
B-26023,19-02-2019,Mukesh,Haryana,Chandigarh,117
B-26024,19-02-2019,Vandana,Himachal Pradesh,Simla,141
B-26025,19-02-2019,Bhavna,Sikkim,Gangtok,570
B-26026,19-02-2019,Kanak,Goa,Goa,445
B-26027,20-02-2019,Sagar,Nagaland,Kohima,628
B-26028,20-02-2019,Manju,Andhra Pradesh,Hyderabad,588
B-26029,20-02-2019,Ramesh,Gujarat,Ahmedabad,265
B-26030,21-02-2019,Sarita,Maharashtra,Pune,672
